feature_order,feature,n_features
1,station_number,23
2,lat,23
3,lng,23
4,hour,23
5,minute,23
6,weekday,23
7,is_weekend,23
8,month,23
9,day,23
10,yday,23
11,week,23
12,station_hour_minute_mean,23
13,station_hour_minute_median,23
14,station_hour_minute_sd,23
15,station_hour_minute_min,23
16,station_hour_minute_max,23
17,station_hour_minute_n,23
18,global_hour_minute_mean,23
19,global_hour_minute_median,23
20,global_hour_minute_sd,23
21,global_hour_minute_min,23
22,global_hour_minute_max,23
23,global_hour_minute_n,23
